agg,int,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,infra,situ,obs,indemne,tue,hospitalisé,blessé,nb_acc
1,1,1.0,3.0,4.0,0.0,1.0,1.0,0.0,70.0,0.0,1.0,0.0,2,1,0,0,3
1,1,1.0,3.0,4.0,0.0,1.0,1.0,10.0,70.0,0.0,0.0,0.0,0,0,0,1,1
1,1,1.0,3.0,4.0,0.0,1.0,1.0,20.0,95.0,0.0,1.0,3.0,2,0,1,0,3
1,1,1.0,3.0,4.0,0.0,1.0,1.0,24.0,108.0,0.0,1.0,0.0,1,1,0,0,2
1,1,1.0,3.0,4.0,0.0,1.0,1.0,24.0,144.0,0.0,1.0,0.0,1,0,1,0,2
1,1,1.0,3.0,4.0,0.0,1.0,1.0,25.0,70.0,0.0,1.0,0.0,7,0,5,2,14
1,1,1.0,3.0,4.0,0.0,1.0,1.0,25.0,70.0,0.0,1.0,3.0,2,0,0,0,2
1,1,1.0,3.0,4.0,0.0,1.0,1.0,25.0,144.0,3.0,1.0,0.0,1,0,2,0,3
1,1,1.0,3.0,4.0,0.0,1.0,1.0,26.0,140.0,0.0,3.0,13.0,0,1,0,0,1
1,1,1.0,3.0,4.0,0.0,1.0,1.0,28.0,200.0,0.0,1.0,0.0,3,0,0,1,4
1,1,1.0,3.0,4.0,0.0,1.0,1.0,30.0,70.0,0.0,2.0,0.0,2,0,1,0,3
1,1,1.0,3.0,4.0,0.0,1.0,1.0,30.0,70.0,0.0,3.0,0.0,0,0,1,0,1
1,1,1.0,3.0,4.0,0.0,1.0,1.0,30.0,72.0,0.0,3.0,13.0,0,0,1,0,1
1,1,1.0,3.0,4.0,0.0,1.0,1.0,30.0,140.0,0.0,1.0,0.0,2,0,1,0,3
1,1,1.0,3.0,4.0,0.0,1.0,1.0,30.0,140.0,0.0,1.0,1.0,2,0,0,0,2
1,1,1.0,3.0,4.0,0.0,1.0,1.0,30.0,140.0,0.0,1.0,13.0,5,0,1,0,6
1,1,1.0,3.0,4.0,0.0,1.0,1.0,30.0,140.0,0.0,3.0,3.0,3,0,2,0,5
1,1,1.0,3.0,4.0,0.0,1.0,1.0,30.0,144.0,0.0,1.0,3.0,0,0,1,1,2
1,1,1.0,3.0,4.0,0.0,1.0,1.0,30.0,146.0,0.0,1.0,0.0,0,1,1,0,2
1,1,1.0,3.0,4.0,0.0,1.0,1.0,30.0,170.0,0.0,3.0,13.0,0,0,0,4,4
1,1,1.0,3.0,4.0,0.0,1.0,1.0,31.0,140.0,0.0,2.0,0.0,1,0,0,0,1
1,1,1.0,3.0,4.0,0.0,1.0,1.0,31.0,140.0,0.0,2.0,7.0,1,0,1,0,2
1,1,1.0,3.0,4.0,0.0,1.0,1.0,40.0,144.0,0.0,1.0,0.0,0,0,4,0,4
1,1,1.0,3.0,4.0,0.0,1.0,1.0,46.0,136.0,0.0,1.0,13.0,0,1,0,0,1
1,1,1.0,3.0,4.0,0.0,1.0,1.0,70.0,50.0,0.0,1.0,1.0,0,0,3,1,4
1,1,1.0,3.0,4.0,0.0,1.0,1.0,70.0,50.0,0.0,1.0,3.0,0,0,0,1,1
1,1,1.0,3.0,4.0,0.0,1.0,2.0,24.0,144.0,0.0,3.0,13.0,0,0,1,0,1
1,1,1.0,3.0,4.0,0.0,1.0,2.0,30.0,140.0,0.0,2.0,0.0,4,0,1,0,5
1,1,1.0,3.0,4.0,0.0,1.0,2.0,30.0,140.0,0.0,2.0,13.0,1,0,2,0,3
1,1,1.0,3.0,4.0,0.0,1.0,3.0,24.0,140.0,0.0,3.0,13.0,2,0,2,0,4
1,1,1.0,3.0,4.0,0.0,1.0,3.0,30.0,70.0,0.0,1.0,0.0,1,2,1,0,4
1,1,1.0,3.0,4.0,0.0,2.0,1.0,25.0,70.0,2.0,1.0,6.0,1,0,1,0,2
1,1,1.0,3.0,4.0,0.0,2.0,1.0,30.0,140.0,0.0,1.0,0.0,2,0,1,2,5
1,1,1.0,3.0,4.0,0.0,2.0,1.0,31.0,150.0,0.0,1.0,0.0,5,0,2,0,7
1,1,1.0,3.0,4.0,0.0,2.0,1.0,31.0,150.0,0.0,1.0,3.0,0,0,1,0,1
1,1,1.0,3.0,4.0,0.0,2.0,1.0,31.0,150.0,0.0,1.0,14.0,4,0,0,0,4
1,1,1.0,3.0,4.0,0.0,2.0,2.0,18.0,72.0,0.0,1.0,0.0,1,0,1,0,2
1,1,1.0,3.0,4.0,0.0,2.0,2.0,27.0,144.0,2.0,1.0,4.0,3,0,0,1,4
1,1,1.0,3.0,4.0,0.0,2.0,2.0,30.0,100.0,0.0,1.0,0.0,1,0,0,1,2
1,1,1.0,3.0,4.0,0.0,2.0,3.0,20.0,130.0,0.0,1.0,0.0,0,0,1,0,1
1,1,1.0,3.0,4.0,0.0,2.0,3.0,80.0,144.0,0.0,1.0,0.0,3,1,0,0,4
1,1,1.0,3.0,4.0,3.0,0.0,1.0,15.0,68.0,0.0,1.0,0.0,2,0,1,0,3
1,1,1.0,3.0,4.0,3.0,1.0,1.0,10.0,70.0,0.0,3.0,13.0,0,1,0,0,1
1,1,1.0,3.0,4.0,3.0,2.0,1.0,30.0,180.0,0.0,1.0,0.0,0,0,1,1,2
1,1,1.0,3.0,5.0,3.0,3.0,2.0,30.0,175.0,3.0,1.0,0.0,1,0,1,0,2
1,1,1.0,3.0,6.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.0,4,0,2,1,7
1,1,1.0,3.0,6.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,14.0,1,0,0,0,1
1,1,1.0,3.0,6.0,0.0,2.0,2.0,24.0,216.0,0.0,1.0,3.0,0,1,0,0,1
1,1,1.0,3.0,6.0,3.0,2.0,2.0,24.0,210.0,0.0,1.0,1.0,2,0,2,0,4
1,1,1.0,3.0,6.0,3.0,2.0,2.0,24.0,210.0,0.0,1.0,3.0,3,0,0,0,3
1,1,1.0,3.0,6.0,3.0,2.0,2.0,24.0,210.0,0.0,1.0,13.0,3,0,0,0,3
1,1,1.0,3.0,6.0,3.0,2.0,3.0,20.0,219.0,0.0,1.0,0.0,4,0,1,0,5
1,1,1.0,3.0,6.0,3.0,2.0,3.0,20.0,219.0,0.0,1.0,14.0,2,0,0,0,2
1,1,1.0,3.0,6.0,3.0,2.0,3.0,24.0,216.0,0.0,2.0,13.0,0,0,2,1,3
1,1,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,2
1,1,2.0,0.0,0.0,0.0,1.0,1.0,0.0,98.0,0.0,1.0,0.0,0,1,0,8,9
1,1,2.0,0.0,0.0,0.0,1.0,1.0,0.0,98.0,0.0,1.0,3.0,0,0,0,3,3
1,1,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0,0,0,2,2
1,1,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,13.0,0,0,0,1,1
1,1,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,16.0,0,0,0,2,2
1,1,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,0,0,1,1,2
1,1,2.0,0.0,2.0,0.0,0.0,1.0,0.0,70.0,0.0,1.0,0.0,1,0,0,1,2
1,1,2.0,0.0,2.0,0.0,0.0,2.0,10.0,70.0,0.0,1.0,6.0,0,0,1,0,1
1,1,2.0,0.0,2.0,0.0,1.0,1.0,0.0,40.0,0.0,1.0,0.0,1,0,0,0,1
1,1,2.0,0.0,2.0,0.0,1.0,1.0,0.0,40.0,0.0,1.0,14.0,1,0,0,1,2
1,1,2.0,0.0,2.0,0.0,1.0,1.0,0.0,60.0,0.0,3.0,13.0,0,0,1,0,1
1,1,2.0,0.0,2.0,0.0,1.0,1.0,0.0,70.0,0.0,1.0,0.0,0,0,0,1,1
1,1,2.0,0.0,2.0,0.0,3.0,2.0,25.0,70.0,0.0,2.0,3.0,0,0,0,1,1
1,1,2.0,0.0,4.0,0.0,1.0,0.0,10.0,150.0,0.0,3.0,3.0,0,0,1,0,1
1,1,2.0,0.0,4.0,0.0,1.0,1.0,12.0,74.0,0.0,1.0,0.0,2,0,1,0,3
1,1,2.0,0.0,4.0,0.0,1.0,1.0,12.0,74.0,0.0,1.0,3.0,1,0,0,0,1
1,1,2.0,0.0,4.0,0.0,1.0,1.0,20.0,80.0,0.0,3.0,13.0,0,0,1,0,1
1,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0,2,1,5
1,1,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,13.0,0,0,1,0,1
1,1,2.0,1.0,0.0,0.0,1.0,0.0,20.0,140.0,0.0,1.0,3.0,0,0,1,0,1
1,1,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,1
1,1,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0,0,2,0,2
1,1,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,1,0,1,0,2
1,1,2.0,1.0,0.0,0.0,1.0,1.0,60.0,50.0,0.0,1.0,0.0,0,0,1,2,3
1,1,2.0,1.0,0.0,0.0,1.0,2.0,0.0,35.0,3.0,1.0,13.0,0,0,1,0,1
